ID,Phase,Title,Description,Target_Citations,Visualization,Acceptance,Status,Verified_Citations,Notes
R1,Research,"Skeleton main.tex (no prose)","Replace template brackets with outline headings and bullet placeholders aligned to the approved plan",0,N/A,"Paper compiles; outline matches plan; no paragraph prose added",DONE,0,"Also set title/keywords placeholders"
R2,Research,"Taxonomy + glossary sources","Collect and verify sources for core families (diffusion/score/flow; token/AR/masked; GAN) and key building blocks (tokenizers; guidance; samplers)",0,N/A,"At least 12 verified sources ready to cite; glossary/taxonomy terms are unambiguous",DONE,0,"Used to support Fig 1 + Sec 2"
R3,Research,"Frontier timeline + primary sources","Collect and verify primary sources for major releases (2020–2025) and their key technical deltas; track disclosure level (data/compute/license)",0,N/A,"Timeline entries each have a primary source link (paper/tech report/model card) and date",DONE,0,"Used to support Fig 2 + Sec 6"
R4,Research,"Benchmarks/metrics survey","Collect and verify sources for common metrics and benchmark protocols (fidelity/diversity; alignment; preference eval; robustness/safety)",0,N/A,"At least 10 verified sources; metrics table draft items listed in notes",DONE,0,"Used to support Tab 2 + Sec 7"
R5,Research,"Safety + provenance survey","Collect and verify sources for watermarking/provenance metadata/detection and policy context relevant to image generators",0,N/A,"At least 10 verified sources; clear mapping of methods to threat models",DONE,0,"Used to support Sec 8"
R6,Research,"Seed ref.bib (verified)","Create initial set of verified BibTeX entries (foundation + representative systems) with consistent citation keys",0,N/A,"ref.bib contains >=15 verified entries; bibtex runs cleanly",DONE,0,"No placeholder/fake entries"
W1,Writing,"Introduction and scope","Define scope and cutoff; summarize why modern diffusion + transformer backbones dominate; roadmap of sections",8,None,"Section written with >=8 verified citations; claims are citation-backed; matches scope boundaries",DONE,13,"Include 'latest as-of' statement"
W2,Writing,"Foundations and building blocks","Unifying view (objectives; conditioning; guidance); core components (tokenizers; backbones; samplers); brief history",10,"Fig 1 taxonomy","Section written with >=10 verified citations; Fig 1 included and referenced; minimal math; clear definitions",DONE,21,"Aim for 1–2 key equations max"
W3,Writing,"Diffusion models: DDPM to DiT/flow","Training objectives; sampler/solver families; classifier-free guidance; U-Net vs transformer diffusion",12,"Fig 3 diffusion pipeline","Section written with >=12 verified citations; Fig 3 included; includes efficiency methods (solvers/distillation) with sources",DONE,15,"Cover at least 2 fast-sampling approaches"
W4,Writing,"Autoregressive and token-based image generators","Discrete latents; AR vs masked modeling; when token models win/lose vs diffusion; scaling and latency tradeoffs",10,None,"Section written with >=10 verified citations; includes clear comparison points and limitations",DONE,13,"Include Parti/MaskGIT/Muse lineage"
W5,Writing,"Conditioning, control, personalization, editing","Conditioning inputs (layout/depth/pose/edges); ControlNet-style adapters; personalization (DreamBooth/LoRA); instruction editing",12,"Fig 4 control landscape","Section written with >=12 verified citations; Fig 4 included; discusses common failure modes (identity drift; leakage) with evidence",DONE,12,"Separate control vs personalization vs editing"
W6,Writing,"Frontier systems and practical tradeoffs","Representative frontier/open systems; disclosure/reproducibility; quality-speed-control tradeoffs; deployment constraints",10,"Fig 2 timeline; Tab 1 model comparison","Section written with >=10 verified citations; Fig 2 + Tab 1 included; table rows each have a primary source",DONE,25,"Clearly label closed vs open claims"
W7,Writing,"Evaluation, benchmarks, and failure modes","Metrics and benchmark design; preference-based eval; failure modes (bias; prompt sensitivity; memorization); reporting recommendations",10,"Tab 2 metrics/benchmarks","Section written with >=10 verified citations; Tab 2 included; limitations of each metric are stated with sources",DONE,14,"Avoid overclaiming single-number metrics"
W8,Writing,"Safety, provenance, and open problems","Misuse/copyright/privacy; watermarking and provenance metadata; detection limits; open problems and best practices",8,"Optional table: provenance methods","Section written with >=8 verified citations; clear distinction between evidence and open questions",DONE,20,"Tie provenance to realistic threat models"
W9,Writing,"Abstract, keywords, and conclusion","Write abstract (no citations); finalize keywords; conclusion that summarizes takeaways without new claims",0,None,"Abstract 150–250 words; conclusion introduces no new uncited claims; paper reads coherently end-to-end",DONE,12,"Do after core sections are stable"
Q1,QA,"Citations: 100% verified","Verify every cited claim has a matching entry in ref.bib and that entries match the source metadata",0,N/A,"No placeholder entries; every BibTeX entry has a verified URL/DOI/arXiv id; Verified_Citations equals Target_Citations total",DONE,0,"Run spot checks against PDFs"
Q2,QA,"Compile cleanly (latexmk)","Run full compile; ensure no LaTeX errors and no undefined citations/references",0,N/A,"latexmk exits 0; no 'Citation undefined' warnings; main.pdf produced",DONE,0,"Use compile_paper.py"
Q3,QA,"Layout sanity","Check for overfull boxes and two-column fit; fix wide figures/tables; ensure readable fonts",0,N/A,"No 'Overfull \\hbox' warnings; figures/tables fit columns; captions are self-contained",DONE,0,"Prefer figure*/table* over shrinking"
Q4,QA,"Figure/table integrity","Verify every figure/table is referenced, captioned, and sourced if externally derived",0,N/A,"All floats referenced in text; no missing files; any reused assets have citations",DONE,0,"Keep to 5+ diverse visualizations"
Q5,QA,"Consistency + terminology","Check acronyms, naming, and section cross-references; ensure consistent definitions across the paper",0,N/A,"Acronyms defined on first use; consistent naming for models/metrics; no contradictory claims",DONE,0,"Add small glossary if needed"
Q6,QA,"Final polish","Tighten prose, remove redundancy, and ensure conclusion matches evidence; final pass for arXiv readiness",0,N/A,"Paper is concise; no uncited factual claims; final PDF is submission-ready",DONE,0,"Optional: equalize last-page columns"
